Ei,Ef,deltaE
1.00000000007813,0.999933104263621,-6.68958145134679e-05
1.00000000002754,0.999903323431605,-9.66765959313776e-05
1.00000000004335,0.999901812336431,-9.81877069216042e-05
1.00000000007897,0.999938492956882,-6.15071220902985e-05
0.999999999934222,0.999896364796165,-0.000103635138057556
0.999999999987353,0.999914776114039,-8.52238733133337e-05
0.999999999977461,0.999909590591094,-9.0409386367063e-05
1.00000000000055,0.999908114035898,-9.18859646507064e-05
1.00000000003063,0.999923812891037,-7.61871395945635e-05
0.999999999935532,0.999900350389749,-9.96495457825652e-05
0.999999999915606,0.999902308006908,-9.76919086976835e-05
1.00000000008656,0.999927370099425,-7.26299871303127e-05
1.00000000003858,0.999907467077898,-9.2532960679792e-05
0.999999999939428,0.99989624932683,-0.000103750612598486
1.00000000008751,0.99995329356531,-4.67065221966267e-05
1.00000000000722,0.999905850964879,-9.41490423380653e-05
1.00000000005129,0.999893134293941,-0.000106865757347085
1.00000000002558,0.999899871605572,-0.000100128420004175
1.00000000003429,0.999925512184219,-7.44878500690271e-05
0.999999999912789,0.999898010629504,-0.000101989283284976
0.999999999951586,0.999896221114508,-0.000103778837077573
0.99999999991267,0.999900305058614,-9.96948540553655e-05
1.0000000000706,0.999919903194272,-8.00968763235987e-05
1.00000000008535,0.999932308127007,-6.7691958338556e-05
0.999999999952747,0.999903788801234,-9.6211151512926e-05
0.999999999923268,0.999907289543205,-9.271038006331e-05
0.999999999923544,0.999907160238225,-9.28396853189239e-05
0.999999999914093,0.999897921444325,-0.000102078469767175
1.00000000008497,0.999929426919804,-7.05731651649e-05
0.999999999999688,0.999908136183334,-9.18638163542873e-05
1.00000000007044,0.999920422161204,-7.95779092316318e-05
0.999999999998453,0.999908092812777,-9.19071856763098e-05
1.00000000000476,0.999898169333297,-0.000101830671465519
0.999999999970219,0.999897575392833,-0.000102424577385296
0.999999999911531,0.999898836331267,-0.000101163580263908
1.00000000002986,0.999892875718006,-0.000107124311852669
0.999999999911983,0.999898628687957,-0.000101371224026536
1.00000000000561,0.999901042069602,-9.89579360106685e-05
1.0000000000875,0.999952665771436,-4.73343160616313e-05
1.00000000004705,0.999881385829714,-0.000118614217333057
1.00000000001048,0.999904526224381,-9.54737860960897e-05
0.999999999911994,0.999899844485921,-0.000100155426073001
1.00000000004117,0.999896069412438,-0.00010393062873526
0.999999999945887,0.99989612272697,-0.000103877218917248
1.00000000008042,0.99993037501986,-6.96250605557447e-05
1.00000000006106,0.999913227318101,-8.67727429578746e-05
1.00000000006849,0.999913157865267,-8.68422032231919e-05
0.999999999995152,0.999911619386865,-8.83806082877525e-05
1.000000000051,0.999898760250089,-0.000101239800908592
1.00000000008659,0.999927007607773,-7.29924788193115e-05
1.00000000007573,0.999925770131527,-7.42299442071381e-05
1.00000000001048,0.999909464846998,-9.05351634808982e-05
1.00000000000324,0.99989675980808,-0.000103240195159171
0.999999999912049,0.999899871633203,-0.00010012827884609
1.00000000007533,0.999916120854263,-8.3879221072336e-05
1.0000000000831,0.99993334426191,-6.66558211852575e-05
1.0000000000556,0.999922570729218,-7.74293263858805e-05
1.0000000000507,0.999897739742884,-0.000102260307818236
0.999999999918667,0.999897286248959,-0.000102713669708265
0.999999999938242,0.999896257512752,-0.000103742425489606
1.00000000008746,0.999947376465789,-5.26236216733533e-05
1.00000000004476,0.999919792996434,-8.02070483235662e-05
1.00000000007614,0.999934534051323,-6.54660248148309e-05
1.00000000008753,0.999934224103754,-6.57759837765504e-05
0.999999999916707,0.999897385153802,-0.000102614762905184
1.00000000008726,0.999918104131436,-8.18959558226418e-05
1.00000000003201,0.999896557255821,-0.000103442776193341
0.999999999911537,0.999899189999631,-0.000100809911905642
1.0000000000872,0.999927876116561,-7.21239706391597e-05
0.99999999997208,0.999909487175565,-9.05127965152852e-05
1.00000000008752,0.999939864035303,-6.01360522215488e-05
1.00000000004293,0.999909494212028,-9.05058308985351e-05
0.999999999982266,0.999916709753364,-8.32902289019666e-05
0.999999999965963,0.999903855363769,-9.61446021938706e-05
1.00000000008757,0.999926833143181,-7.31669443904126e-05
1.00000000001937,0.99990518214335,-9.4817876024611e-05
0.99999999994902,0.999906458068964,-9.35418800560583e-05
1.00000000008133,0.999927407999573,-7.25920817561398e-05
1.00000000003412,0.999901840171134,-9.81598629854474e-05
1.000000000045,0.999897158142708,-0.000102841902293149
0.999999999978106,0.999900124639828,-9.98753382775996e-05
1.00000000002412,0.999894475649563,-0.000105524374557464
0.999999999942129,0.999902817881229,-9.71820609001472e-05
0.999999999917649,0.99989735249706,-0.000102647420588853
0.999999999944509,0.999905044564222,-9.49553802874759e-05
0.999999999922946,0.999896917082837,-0.000103082840108626
0.9999999999701,0.999909129810083,-9.08701600166317e-05
1.00000000008365,0.999927952476375,-7.20476072730847e-05
1.00000000007856,0.999933775046964,-6.62250315941471e-05
1.00000000008024,0.999931486615592,-6.8513464652864e-05
0.999999999911643,0.99989875305095,-0.000101246860693682
1.00000000008366,0.99993365974811,-6.6340335551085e-05
0.999999999943378,0.999903985833204,-9.60141101742362e-05
1.00000000003699,0.999909584175795,-9.04158611971795e-05
0.999999999968396,0.999906403857631,-9.3596110765648e-05
0.999999999917786,0.999897346550752,-0.0001026533670343
0.999999999914532,0.999897819959873,-0.00010217995465911
0.999999999912418,0.999900087134457,-9.99127779617304e-05
0.999999999914189,0.999897905431664,-0.000102094482524628
1.00000000001871,0.999906108988873,-9.38910298347029e-05
