Time,Correlation
0,2.89381887061849e-05
9.99999999999998,1.35916681276779e-05
20,9.17582344900252e-06
30.0000000000002,2.25419539638289e-05
40.0000000000003,1.43340772659208e-05
50.0000000000004,7.55639720505949e-06
60.0000000000006,2.10830686622887e-05
70.0000000000003,1.85555775758244e-05
79.9999999999997,8.42854055513366e-06
89.9999999999992,1.82014833178472e-05
99.9999999999986,2.13401995973693e-05
109.999999999998,7.6544215425957e-06
119.999999999997,1.4045837122111e-05
129.999999999997,2.27950169286961e-05
139.999999999996,9.43022330865327e-06
149.999999999996,1.33158639549567e-05
159.999999999995,2.88987153776003e-05
169.999999999995,1.38402671491814e-05
179.999999999994,8.90699522475477e-06
189.999999999993,2.22632385877093e-05
199.999999999993,1.46160590350858e-05
209.999999999992,7.46382835618371e-06
219.999999999992,2.08341323612203e-05
229.999999999991,1.89410378100686e-05
239.999999999991,8.44021677160814e-06
249.99999999999,1.78149526565315e-05
259.999999999991,2.15912241585107e-05
269.999999999993,7.79961123777122e-06
279.999999999995,1.37893965939287e-05
289.999999999997,2.30582521717225e-05
300,9.6980104152841e-06
310.000000000002,1.30585079770305e-05
320.000000000004,2.88213870943046e-05
330.000000000007,1.40965723032944e-05
340.000000000009,8.65251601029586e-06
350.000000000011,2.19743550582377e-05
360.000000000013,1.49012219336899e-05
370.000000000016,7.3772176445682e-06
380.000000000018,2.05840482921812e-05
390.00000000002,1.93473434316926e-05
400.000000000022,8.46921726434068e-06
410.000000000025,1.74331416154226e-05
420.000000000027,2.18291466869682e-05
430.000000000029,7.94248491686779e-06
440.000000000032,1.35201746000934e-05
450.000000000034,2.33039690703172e-05
460.000000000036,9.98690258994595e-06
470.000000000038,1.28045919988419e-05
480.000000000041,2.87042109020821e-05
490.000000000043,1.43337009435535e-05
500.000000000045,8.37831731868393e-06
510.000000000047,2.16528024994496e-05
520.00000000005,1.51775027402877e-05
530.000000000052,7.30721794876741e-06
540.000000000054,2.03291057870498e-05
550.000000000057,1.97496756126118e-05
560.000000000059,8.50445085701445e-06
570.000000000061,1.70424753878403e-05
580.000000000063,2.20443766743024e-05
590.000000000066,8.09260540004268e-06
600.000000000068,1.32688224908343e-05
610.00000000007,2.35410419912443e-05
620.000000000072,1.02753293406937e-05
630.000000000075,1.25532166808871e-05
640.000000000077,2.8526205520973e-05
650.000000000079,1.45647233263308e-05
660.000000000082,8.11956155618349e-06
670.000000000084,2.13435249280653e-05
680.000000000086,1.5464172602253e-05
690.000000000088,7.25219134462211e-06
700.000000000091,2.00689346466079e-05
710.000000000093,2.0147326887668e-05
720.000000000095,8.55274958250325e-06
730.000000000097,1.66720351240783e-05
740.0000000001,2.22687184036529e-05
750.000000000102,8.26427594404604e-06
760.000000000104,1.30246475241759e-05
770.000000000107,2.37581433777023e-05
780.000000000109,1.0559818559773e-05
790.000000000111,1.23049665750952e-05
800.000000000113,2.83400177100375e-05
810.000000000116,1.4824511450453e-05
820.000000000118,7.90635941288251e-06
830.00000000012,2.10464571373009e-05
840.000000000122,1.57581731225851e-05
850.000000000125,7.20727891634174e-06
860.000000000127,1.9807711695785e-05
870.000000000129,2.0558985381231e-05
880.000000000132,8.62070781126249e-06
890.000000000134,1.63137341393282e-05
900.000000000136,2.24828934245256e-05
