Time,AGPGradNorm
0,0
10,0.539444312583676
20,0.437788629279944
30,0.333964794875294
40,0.288450397999328
50,0.285053521877193
60,0.28601149306195
70,0.288505637144439
80,0.299199036532583
90,0.298879956582885
100,0.285908131701675
110,0.285503995118267
120,0.29944782834802
130,0.307113010368304
140,0.319940760545272
150,0.34148149825011
160,0.36140140344408
170,0.376786117196776
180,0.374579932720171
190,0.364966280882689
200,0.358873277150767
210,0.35748112894628
220,0.364048825858633
230,0.383079269272242
240,0.405629662596572
250,0.426615781807206
260,0.444145667093372
270,0.466203975176668
280,0.491031792346859
290,0.508650132646955
300,0.519956420697564
310,0.534701341196586
320,0.550909622993136
330,0.57233022964784
340,0.597608134155472
350,0.627745860560505
360,0.660031582935082
370,0.688921654898761
380,0.714727235538097
390,0.732702707665094
400,0.752650402416513
410,0.774997591191582
420,0.799426306297194
430,0.826801494284665
440,0.861587977370746
450,0.900849072123852
460,0.94365889915874
470,0.990803896339102
480,1.03762329004339
490,1.08479911287872
500,1.1342034387013
510,1.18229864356448
520,1.22747920470901
530,1.27725067353343
540,1.33298676244802
550,1.39366809520794
560,1.46367021860622
570,1.53471274104737
580,1.6063085216272
590,1.67618574718848
600,1.74132089114602
610,1.80717030292487
620,1.87345867265258
630,1.93838189287809
640,2.01475726778331
650,2.10311963251869
660,2.19816777407197
670,2.29754939504857
680,2.3996096835942
690,2.50122480324231
700,2.60274079415239
710,2.71222578552116
720,2.81635183725337
730,2.92138978522835
740,3.02216794931876
750,3.12419845909257
760,3.23477541479092
770,3.35631074466444
780,3.4805896606221
790,3.60156997814997
800,3.71805032815516
810,3.82626026380309
820,3.93383832211429
830,4.03129166878701
840,4.13172502742476
850,4.24393190409288
860,4.3581712545288
870,4.4758382638341
880,4.59319345084477
890,4.71035240573397
900,4.83429767784883
910,4.96125998923488
920,5.08661310908497
930,5.20977446379788
940,5.33332488546045
950,5.45707259614139
960,5.59448093142474
970,5.74507127832546
980,5.89502029796352
990,6.04083772906924
1000,6.18219443099958
1010,6.32215739809394
1020,6.45400324901048
1030,6.58537801522528
1040,6.71701132353131
1050,6.86038516363071
1060,7.01406477463919
1070,7.16862549891393
1080,7.32444933897204
1090,7.48746139822538
1100,7.6509853226622
1110,7.8184953273245
1120,7.99813392470418
1130,8.18730650482374
1140,8.38169399642668
1150,8.56575444484828
1160,8.73891107208424
1170,8.92034177151797
1180,9.11407526149784
1190,9.31102605537851
1200,9.50305888928708
1210,9.70140010766377
1220,9.90956417595369
1230,10.1131583269934
1240,10.3210138500004
1250,10.5264836251616
1260,10.7231890801553
1270,10.9206613170175
1280,11.1194443716003
1290,11.3148425304023
1300,11.5165235067315
1310,11.706470035102
1320,11.8816044143193
1330,12.0608928521357
1340,12.296744451945
1350,12.5383608895182
1360,12.7762396154322
1370,13.0063335306432
1380,13.2331610664074
1390,13.4636298115631
1400,13.667248949397
1410,13.866346453089
1420,14.0896262856275
1430,14.3448269130711
1440,14.6017993265112
1450,14.8757691247289
1460,15.1717191667919
1470,15.5265496429518
1480,15.8749363211429
1490,16.2028846372249
1500,16.5549581358913
1510,16.8896396402367
1520,17.1862132425518
1530,17.3842860231762
1540,17.7347510571923
1550,18.2370575298137
1560,18.7453820554624
1570,19.2406978844594
1580,19.7870428759181
1590,20.3073694966985
1600,20.7682237397389
1610,21.2328162043012
1620,21.6971015916845
1630,22.1791375333308
1640,22.6889587355885
1650,23.2098364421278
1660,23.9492674245796
1670,25.0599492859434
1680,26.2327687696443
1690,27.3731776138461
1700,28.5571569180784
1710,29.8722862587273
1720,31.2846002720122
1730,32.4909101757717
1740,33.6256898494361
1750,35.3979458694411
1760,37.8013979657674
1770,40.253772805157
1780,42.8137673500736
1790,45.6817104427325
1800,48.4938166750934
1810,51.2624064245479
1820,54.1864943409447
1830,57.0525676737802
1840,60.1022350528811
1850,63.4818593251135
1860,67.1097205635685
1870,71.327052416506
1880,76.2386937488443
1890,81.2698608592426
1900,86.3022919657149
1910,91.3320835614298
1920,96.9349776050211
1930,102.481859985409
1940,108.037610617154
1950,114.005621640118
1960,121.04903790326
1970,128.73980251622
1980,136.500102284878
1990,144.497468591695
2000,152.544278567153
2010,160.767736580816
2020,169.284536765909
2030,177.606009211243
2040,185.780806176419
2050,194.667905298979
2060,203.833505181163
2070,213.635427823514
2080,224.879838225801
2090,236.813392393026
2100,248.337648602704
2110,259.514945094763
2120,270.761375691707
2130,281.88332180692
2140,292.760983022042
2150,303.923738122968
2160,316.404474866779
2170,329.346777364372
2180,342.010191761023
2190,353.898817833995
2200,365.699505458653
2210,377.186083799289
2220,389.589649838837
2230,401.960831661367
2240,413.167230400567
2250,425.0672566823
2260,437.769847537811
2270,450.31359886725
2280,464.235056966348
2290,479.333064459027
2300,493.943362538505
2310,508.000651695298
2320,521.280630750493
2330,533.822296764393
2340,545.778930127815
2350,558.145765552331
2360,571.005301092198
2370,584.507270010225
2380,597.528804538837
2390,608.609222426905
2400,618.641698219504
2410,628.45349080718
2420,637.884097110819
2430,647.957910403274
2440,656.930419324818
2450,665.891486029801
2460,676.074723090044
2470,686.474364418879
2480,696.885058549124
2490,707.52276126029
2500,717.864658762618
2510,728.142134416522
2520,737.86171353285
2530,745.596342549454
2540,753.269111131441
2550,760.976979253269
2560,769.16432400554
2570,777.300019413806
2580,784.949349045288
2590,790.707087425159
2600,795.593922412942
2610,800.395425296927
2620,804.282352568266
2630,806.94556098087
2640,809.539578021804
2650,812.373780729288
2660,815.920188487776
2670,820.158618857358
2680,824.705236476253
2690,827.727287941674
2700,829.147119607827
2710,830.731532634511
2720,832.036036765724
2730,832.869005851262
2740,831.402534497003
2750,828.668369575267
2760,825.743837601062
2770,821.486390167908
2780,815.237766122854
2790,808.350519259413
2800,801.677124581423
2810,794.520940035611
2820,787.275472802944
2830,776.861396611643
2840,764.947540083483
2850,754.614340248346
2860,742.826959749153
2870,729.736632912518
2880,716.978922731629
2890,702.879476844245
2900,686.190221680086
2910,667.278702253669
2920,647.682481558437
2930,630.243287289539
2940,613.133016530526
2950,591.578836256914
2960,568.324223100218
2970,543.866916211355
2980,516.138895655368
2990,486.967484959795
3000,459.054976629122
3010,434.914682850244
3020,416.391880660662
3030,402.779413471202
3040,390.683058924621
3050,382.221953083796
3060,379.321906710631
3070,381.910877712231
3080,392.400569355885
3090,410.621610911477
3100,434.735519616415
3110,464.150345433099
3120,501.526107029914
3130,540.57721616857
3140,582.969881044873
3150,635.984281093526
3160,697.886173214798
3170,763.251606568669
3180,833.849422299405
3190,908.968478299847
3200,984.169401251695
3210,1055.08974505452
3220,1125.52429486243
3230,1196.83753422016
3240,1275.72524518168
3250,1361.82039438194
3260,1450.911333734
3270,1548.01816976619
3280,1652.49952461973
3290,1756.56623676843
3300,1854.99601332736
3310,1945.25240968022
3320,2036.92391933114
3330,2125.76621734222
3340,2215.94348542542
3350,2311.36362176019
3360,2408.68271320464
3370,2500.15287021901
3380,2587.42027939723
3390,2669.60787423028
3400,2748.25707540853
3410,2824.54956297702
3420,2900.50921669229
3430,2974.5318072228
3440,3055.35217387648
3450,3138.21146781197
3460,3213.40240579597
3470,3287.07085330299
3480,3368.26555405719
3490,3447.27231246552
3500,3515.4007318305
3510,3575.45932482501
3520,3635.53123297663
3530,3690.24917419927
3540,3739.53582060073
3550,3787.5861611345
3560,3828.87347760955
3570,3866.70822523374
3580,3899.24722834431
3590,3925.88449514857
3600,3940.16013146916
3610,3950.88956379351
3620,3967.18213404871
3630,3985.10864858467
3640,3994.22190350148
3650,3989.8902715301
3660,3979.49883303003
3670,3961.21719937167
3680,3930.64993676829
3690,3897.77382339464
3700,3855.62278513195
3710,3817.96640439421
3720,3793.54179779428
3730,3767.36735314704
3740,3724.34810574109
3750,3669.2129439732
